,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,is_inc_v,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
118168,12958045,14990231,17700,17700,17700, 36 months,24.99 ,703.66,F,F4,Maintenance Mechanic,5 years,1,90000,Not Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12958045,  Borrower added on 03/18/14 > I am consolidating all my bills to have only one monthly payment to manage and close all credit card and loans.<br>,debt_consolidation,Debt consolidation,907xx,CA,15.52,0,May-02,1,56,107,10,1,12466,65.30%,21,f,15202.88,15202.88,4925.62,4925.62,2497.12,2428.5,0,0,0,Nov-14,703.66,Dec-14,Nov-14,0,65,1
118180,12968021,15000209,19500,19500,19500, 60 months,16.59 ,480.34,D,D1,Secretary IV,7 years,1,63048,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12968021,  Borrower added on 03/18/14 > I'd like to consolidate my credit cards into one monthly payment to pay it off in 5 years.<br>,debt_consolidation,Debt consolidation,934xx,CA,11.44,0,Dec-92,1,66,82,7,2,19308,66.10%,24,f,17962.12,17962.12,3362.38,3362.38,1537.88,1824.5,0,0,0,Oct-14,480.34,Dec-14,Nov-14,0,66,1
118353,13008011,15040192,7700,7700,7700, 36 months,17.57 ,276.72,D,D2,operations manager,10+ years,1,63000,Not Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13008011,  Borrower added on 03/18/14 > I have several credit cards and a bank loan that I would like to pay off. I currently pay $550.00 a month on the bank loan and this would lower the the amount I pay each month.<br>,debt_consolidation,Debt consolidation,637xx,MO,9.8,0,Apr-07,1,39,114,12,1,2328,26.50%,23,w,6318.94,6318.94,2213.76,2213.76,1381.06,832.7,0,0,0,Nov-14,276.72,Dec-14,Nov-14,0,39,1
118403,12907925,14940101,9000,9000,9000, 36 months,14.16 ,308.3,C,C2,Sales Representative,3 years,1,96000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12907925,  Borrower added on 03/18/14 > to consolidate higher interest credit card accounts into a single lower interest payment<br>,debt_consolidation,Debt consolidation,483xx,MI,11,0,Jan-00,0,51,46,12,1,17003,73%,24,f,7534.22,7534.22,2158.1,2158.1,1465.78,692.32,0,0,0,Oct-14,308.3,Dec-14,Nov-14,0,71,1
118434,12957820,14990008,18000,18000,17975, 36 months,9.67 ,578.03,B,B1,DSP-Direct Supporting Professional,10+ years,1,40000,Not Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=12957820,  Borrower added on 03/17/14 > I am taking this loan to pay off my credit cards debt and to pay off a small balance on my car. I came to this decision to take the loan and pay off these bills because my monthly payments was adding up to be too much monthly even though I was making the payments.<br>,credit_card,Credit card refinancing,115xx,NY,25.32,0,Apr-98,0,56,109,8,1,12093,48.60%,17,f,14436.87,14416.82,4624.24,4617.82,3563.13,1061.11,0,0,0,Nov-14,578.03,Dec-14,Nov-14,0,56,1
118507,13027907,15060091,8000,8000,8000, 36 months,12.49 ,267.6,B,B4,Dispatcher,1 year,1,30000,Not Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13027907,  Borrower added on 03/17/14 > I will be using this loan to consolidate my credit card debt.  The remaining amount will be used for some small home improvements.<br>,credit_card,Credit card refinancing,932xx,CA,27.2,0,Dec-02,1,69,116,13,1,4083,46.40%,24,f,6668.67,6668.67,1873.2,1873.2,1331.33,541.87,0,0,0,Oct-14,267.6,Dec-14,Nov-14,0,69,1
118517,13037900,15070078,15000,15000,15000, 60 months,20.49 ,401.51,E,E2,Sample manager,10+ years,1,83252,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13037900,  Borrower added on 03/17/14 > Closing cost for a home<br><br> Borrower added on 03/17/14 > Closing cost for buying a home.<br>,other,Other,330xx,FL,18.57,0,Mar-94,2,75,73,5,1,2289,41.60%,28,w,13928.66,13928.66,2810.57,2810.57,1071.34,1739.23,0,0,0,Oct-14,401.51,Dec-14,Nov-14,0,75,1
118645,13037643,15069826,15000,15000,15000, 60 months,18.92 ,388.45,D,D4,Installer,3 years,0,74000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13037643,  Borrower added on 03/17/14 > We will be going on vacation and cosmetic surgery<br>,major_purchase,Major purchase,480xx,MI,23.95,1,Mar-85,5,14,101,13,1,6962,21.80%,26,w,13884.7,13884.7,2719.15,2719.15,1115.3,1603.85,0,0,0,Nov-14,388.45,Dec-14,Nov-14,0,14,1
118726,13007629,15039813,10800,10800,10800, 60 months,21.99 ,298.23,E,E4,Owner,4 years,0,150000,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13007629,"  Borrower added on 03/17/14 > I need to do some major home improvements, ie, new heat pump, guttering, new decking on back deck, leaking skylights.<br>",home_improvement,Home improvement,299xx,SC,5.86,0,Nov-97,1,26,10,4,6,2673,50.40%,24,w,10057.95,10057.95,2087.61,2087.61,742.05,1345.56,0,0,0,Oct-14,298.23,Dec-14,Nov-14,0,26,1
118728,13007687,15039870,6000,6000,6000, 36 months,17.57 ,215.63,D,D2,Manager,6 years,0,60000,Source Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13007687,  Borrower added on 03/17/14 > would like to update flooring and appliances in my home.<br>,home_improvement,Home improvement,745xx,OK,27.64,1,Jul-03,4,15,88,9,1,4734,44.70%,19,w,4923.81,4923.81,1725.04,1725.04,1076.19,648.85,0,0,0,Nov-14,215.63,Dec-14,Nov-14,1,15,1
118743,13017696,15049898,12500,12500,12500, 36 months,14.16 ,428.2,C,C2,SERVICEMANAGER/MECHANIC,1 year,0,41000,Verified,Mar-14,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=13017696,"  Borrower added on 03/17/14 > PAY OFF HIGHER RATE CREDIT CARD , DOCTOR BILL , PAY ESCROW AHEAD ON COMMERCIAL REAL ESTATE PROPERTY,AND A FEW HOME REPAIRS<br>",debt_consolidation,Debt consolidation,620xx,IL,7.35,2,Sep-93,2,12,31,5,1,2320,47%,27,f,10159.44,10159.44,3425.6,3425.6,2340.56,1085.04,0,0,0,Nov-14,428.2,Dec-14,Nov-14,0,28,1
